--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
066.568  000.089  000.089: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
066.577  000.742  000.654: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchit.vim
066.679  000.063  000.063: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchparen.vim
066.723  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/netrwPlugin.vim
066.816  000.055  000.055: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/osc52.lua
066.963  000.018  000.018: sourcing /Users/leejaeseok/.local/share/nvim/rplugin.vim
066.970  000.117  000.099: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/rplugin.vim
067.033  000.026  000.026: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/shada.vim
067.108  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/spellfile.vim
067.182  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tarPlugin.vim
067.267  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tohtml.lua
067.324  000.010  000.010: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tutor.vim
067.416  000.051  000.051: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/zipPlugin.vim
067.817  000.186  000.186: require('cmp_cmdline')
067.832  000.251  000.065: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
068.079  000.114  000.114: require('cmp_path')
068.103  000.179  000.065: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
068.632  000.101  000.101: require('cmp_buffer.timer')
068.635  000.195  000.095: require('cmp_buffer.buffer')
068.638  000.286  000.091: require('cmp_buffer.source')
068.638  000.363  000.077: require('cmp_buffer')
068.707  000.474  000.111: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
068.881  000.064  000.064: sourcing /Users/leejaeseok/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
068.918  064.043  024.116: require('ashrock.lazy_init')
069.378  000.229  000.229: require('telescope.builtin')
069.707  000.117  000.117: require('harpoon.utils')
069.710  000.217  000.100: require('harpoon.logger')
070.071  000.101  000.101: require('harpoon.autocmd')
070.073  000.218  000.117: require('harpoon.buffer')
070.245  000.171  000.171: require('harpoon.extensions')
070.249  000.537  000.148: require('harpoon.ui')
070.631  000.381  000.381: require('harpoon.data')
070.852  000.215  000.215: require('harpoon.config')
071.007  000.154  000.154: require('harpoon.list')
074.191  004.800  003.295: require('harpoon')
074.656  000.289  000.289: require('vim.lsp.buf')
074.673  005.754  000.437: require('ashrock.remap')
074.795  000.121  000.121: require('ashrock.bufonly')
077.329  000.369  000.369: require('tokyonight.config')
077.332  000.652  000.283: require('tokyonight')
077.981  000.370  000.370: require('tokyonight.util')
077.983  000.611  000.241: require('tokyonight.theme')
078.484  000.239  000.239: require('tokyonight.colors')
078.892  000.161  000.161: require('tokyonight.colors.storm')
079.250  000.266  000.266: require('tokyonight.hsluv')
080.004  000.286  000.286: require('tokyonight.groups')
081.004  004.490  002.275: sourcing /Users/leejaeseok/.local/share/nvim/lazy/tokyonight.nvim/colors/tokyonight-night.lua
081.256  076.736  002.180: require('ashrock')
081.257  076.763  000.027: sourcing /Users/leejaeseok/.config/nvim/init.lua
081.269  000.789: sourcing vimrc file(s)
081.551  000.077  000.077: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/filetype.lua
081.830  000.043  000.043: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/syntax/synload.vim
081.915  000.257  000.214: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/syntax/syntax.vim
081.924  000.320: inits 3
084.062  002.139: reading ShaDa
086.174  000.649  000.649: require('vim.filetype.detect')
086.894  002.183: reading stdin
086.911  000.016: opening buffers
086.916  000.005: BufEnter autocommands
086.917  000.001: editing files in windows
086.948  000.031: --- NVIM STARTED ---

