--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
057.021  000.067  000.067: require('cmp.utils.pattern')
057.023  000.138  000.071: require('cmp.context')
057.328  000.118  000.118: require('cmp.utils.snippet')
057.399  000.070  000.070: require('cmp.matcher')
057.402  000.277  000.089: require('cmp.entry')
057.405  000.382  000.105: require('cmp.source')
057.558  000.071  000.071: require('cmp.utils.event')
057.802  000.091  000.091: require('cmp.utils.options')
057.805  000.170  000.079: require('cmp.utils.window')
057.806  000.247  000.077: require('cmp.view.docs_view')
057.935  000.128  000.128: require('cmp.view.custom_entries_view')
058.062  000.127  000.127: require('cmp.view.wildmenu_entries_view')
058.156  000.093  000.093: require('cmp.view.native_entries_view')
058.312  000.155  000.155: require('cmp.view.ghost_text_view')
058.322  000.916  000.095: require('cmp.view')
058.635  002.994  000.459: require('cmp.core')
058.822  000.094  000.094: require('cmp.config.sources')
058.904  000.081  000.081: require('cmp.config.window')
058.932  003.480  000.312: require('cmp')
059.044  000.109  000.109: require('ashrock.md_frontmatter')
060.199  000.451  000.451: require('minintro')
060.463  000.082  000.082: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/editorconfig.lua
060.596  000.082  000.082: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/gzip.vim
060.699  000.062  000.062: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/man.lua
061.315  000.093  000.093: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
061.325  000.586  000.493: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchit.vim
061.435  000.069  000.069: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchparen.vim
061.482  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/netrwPlugin.vim
061.565  000.044  000.044: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/osc52.lua
061.730  000.021  000.021: sourcing /Users/leejaeseok/.local/share/nvim/rplugin.vim
061.735  000.129  000.108: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/rplugin.vim
061.810  000.027  000.027: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/shada.vim
061.921  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/spellfile.vim
062.014  000.039  000.039: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tarPlugin.vim
